date;TRIL;CSGS;BSET;FNHC;ADES;TRIB;OPOF;BLDR;IPAR;SBAC;ULBI;BCML;DOX;SNPS;BKYI
2005-05-10;7.5;15.33162987;9.362682185;8.617090974;5.852244905;6.54263918;17.75068251;;8.670417343;10.48457311;17.04;12;25.27290338;16.84;29.28
2005-05-11;7.5;15.33162987;9.458066079;8.650646625;5.602569298;6.429183009;17.27881585;;9.275572826;10.38519327;16.8;12;25.39713815;17.28;28.8
2005-05-12;7.5;15.21117935;9.332560956;8.724469055;5.492863349;6.240089391;17.50843466;;9.139934528;10.19637157;16.72;12;25.10429904;16.85;28.8
2005-05-13;7.5;15.06491801;9.225990113;8.422468203;5.591220407;5.937539603;17.50843466;;9.645969716;10.24606149;16.34;12;24.91794687;17.1;28.08
2005-05-16;7.5;15.3660443;9.332560956;8.442601593;5.553390769;6.429183009;17.22141115;;9.67987929;10.29575141;17;11.5;24.97119034;17.2;25.44
2005-05-17;7.5;15.74460306;9.200616103;8.254689952;5.322629981;6.391364286;17.93896994;;9.719005722;10.33550335;16.77;11.5;25.37939033;17.31;25.56
2005-05-18;7.5;16.28663038;9.59137586;8.214423172;5.560956697;6.429183009;17.79545818;;9.599017997;10.76283666;16.8;11.5;25.55686858;17.98;26.4
2005-05-19;7.5;16.19199069;9.464505809;8.082885023;5.606352262;6.504820456;17.79545818;;9.332958259;11.30942578;16.78;11.5;25.35276859;18.03;25.68
2005-05-20;7.5;16.2005943;9.56600185;7.898328947;5.560956697;6.467001733;17.79545818;;9.583367424;11.170294;16.83;11.35;25.27290338;17.94;25.68
2005-05-23;7.5;16.2091979;9.61674987;8.100333961;5.466382603;6.656095351;18.0824817;;9.207753677;11.18023199;16.76;11.35;25.27290338;17.83;25.92
2005-05-24;7.5;16.22640512;9.733470317;7.93926684;5.428552966;6.807370245;17.79545818;;9.301657114;10.8622165;16.78;11.35;25.21078599;17.93;25.92
2005-05-25;6.15;15.75320667;9.743619921;8.476157244;5.296149235;6.920826416;18.19786516;;9.489463987;10.81252658;16.51;11.9;25.02443382;17.88;25.68
2005-05-26;6.15;16.35545924;9.824816754;8.321801253;5.37180851;7.185557481;18.31784099;;9.489463987;10.99141029;16.61;11.9;24.74934253;18.38;25.68
2005-05-27;6.15;16.45870254;9.895863982;8.201000912;5.483027644;7.336832375;18.16789432;;9.525981991;11.15041804;16.51;11.9;24.5896121;18.13;26.16
2005-05-31;6;16.36406285;9.911088389;8.724469055;5.417204075;7.336832375;18.16789432;;9.259922253;11.170294;16.32;11.9;24.18141211;18.07;25.92
2005-06-01;6;16.58775667;9.895863982;8.509712894;5.390723328;7.715019611;18.16789432;;9.885945166;11.13054207;16.6;11.4;23.98618603;18.28;25.92
2005-06-02;7.2;16.77703605;9.86541517;8.744602445;5.507995204;7.081555991;17.93706067;;9.645969716;11.15041804;16.5;11.4;23.29402084;18.47;25.68
2005-06-03;7.2;16.54473863;9.768993931;8.590246454;5.530692987;6.807370245;18.15052842;;9.254705395;10.91190642;16.77;11.4;24.01280777;17.91;24.72
2005-06-06;7.2;16.69099997;9.713171109;8.469446113;5.636615972;6.599367265;17.85628909;;9.249488537;11.07091416;16.64;11.4;24.06605125;18.15;25.2
2005-06-07;7.2;16.70820718;9.621824672;8.657357755;5.674445609;6.211725349;17.85628909;;9.520765133;10.87215448;16.77;11.4;23.55136431;18.08;25.2
2005-06-08;7.2;16.57915306;9.662423088;8.536557414;5.863593796;6.353545562;17.85628909;;9.74509001;10.66345682;16.02;11.4;23.06329911;18.26;24.96
2005-06-09;7.2;16.88888295;9.61674987;8.529846284;5.65553079;6.618276627;17.85628909;;10.36067921;10.81252658;15.8;12.5;23.04555129;18.33;25.68
2005-06-10;7.2;16.4156845;9.611675068;8.442601593;5.632833008;6.258998753;17.88513608;;10.27720949;10.90196844;15.89;13;22.8414513;18.33;25.68
2005-06-13;7.2;16.32964842;9.672572693;8.489579504;5.931687143;5.956448964;17.88513608;;10.32937806;11.27961183;16;13;22.93906434;18.57;26.16
2005-06-14;7.2;16.3038376;9.728395515;8.355356903;5.829547122;5.946994284;18.16783662;;9.604234855;11.6671932;16.1;13.45;23.1254165;18.62;25.68
2005-06-15;7.2;16.17478347;9.738545119;8.120467351;5.670662645;5.975358326;17.89090548;;9.510331418;12.04483659;16.04;13.5;23.38275997;18.5;28.08
2005-06-16;7.2;16.45870254;9.794367942;8.160734132;5.712275246;6.098269178;17.64859073;;10.02158346;12.34297611;15.8;13.5;23.87082517;18.8;27.6
2005-06-17;7.2;16.51032419;9.637049078;8.194289782;5.787934521;6.168233817;17.26204102;;10.30329377;12.38272805;15.31;13.5;24.23465559;17.44;26.88
2005-06-20;7.2;16.25221595;9.581226256;8.643935495;5.693360428;6.098269178;17.61974374;;10.68412438;12.18396837;15.63;13.5;24.21690777;17.49;28.32
2005-06-21;7.2;16.14036904;9.530478235;8.925802956;5.750104884;6.325181519;17.30819621;;10.89801554;12.21378232;15.63;13.5;24.33226863;17.42;28.08
2005-06-22;7.2;16.34685564;9.601525464;8.972780867;5.848461941;6.325181519;18.28899399;;10.89279868;12.22372031;15.75;13;24.4476295;17.31;27.84
2005-06-23;7.2;16.08014378;9.545702642;8.999625387;5.697143391;6.22118003;17.83321149;;10.69977495;12.19390635;15.5;13;24.04830342;17.16;26.88
2005-06-24;7.2;16.05433296;9.41883259;8.905669566;5.674445609;6.353545562;16.8754913;;10.35546235;12.9690691;15.67;13;23.38275997;16.8;26.4
2005-06-27;7.2;15.94248605;9.581226256;8.677491145;5.640398935;6.287362796;17.31973501;;10.17808919;12.76037144;15.52;13.49;23.1964078;16.61;26.64
2005-06-28;7.2;16.26081955;9.621824672;8.724469055;5.617701153;6.353545562;17.01972627;15.99;10.10505319;13.37652645;16.02;13.49;23.56911214;16.8;26.64
2005-06-29;7.2;16.23500873;9.652273484;8.590246454;5.598786334;6.192815987;17.75243991;16.03;10.07368727;13.87342565;16.49;13.49;23.67559909;16.88;26.16
2005-06-30;7.2;16.32964842;9.571076652;8.650646625;5.712275246;6.145542582;17.75243991;16.2;10.1364191;13.41627838;16.15;13;23.45375127;16.67;26.64
2005-07-01;7.2;16.47590976;9.621824672;8.637224365;5.629050044;6.022631731;17.75243991;16.24;10.25665512;13.63491403;16.28;13;23.71996865;16.65;26.4
2005-07-05;7.2;14.51428708;9.875564774;8.422468203;5.757670811;6.202270668;17.30819621;16.05;10.74282685;13.85354968;16.36;13;24.6606034;16.8;26.16
2005-07-06;7.2;14.81541337;9.956761607;8.100333961;5.560956697;6.156888199;17.30819621;15.81;10.96761592;14.63865042;17.07;13;25.08655121;16.74;25.68
2005-07-07;7.2;15.1595577;9.992285221;8.113756221;5.571548995;6.173906625;17.30819621;16;10.84737991;14.74796824;16.85;13;25.10429904;16.85;25.92
2005-07-08;7.2;15.24559378;10.14960408;8.086911701;5.738755992;6.247653136;17.30819621;16.2;10.80033103;15.24486744;16.9;13;25.16641642;17.5;26.4
2005-07-11;5.01;15.42626956;10.14960408;8.315090123;5.769019702;6.3346362;17.30819621;16.25;10.95716062;15.38399921;16.96;13;25.61011206;17.6;28.32
2005-07-12;6.15;15.44347677;10.23587572;8.107045091;5.750104884;6.381909605;17.19280823;16.34;10.87351817;14.88710001;16.22;13;25.60123815;17.93;27.36
2005-07-13;6.15;15.40906234;10.11915527;8.107045091;5.708492283;6.627731308;17.30819621;16.316;11.23945388;15.07592171;16.27;13;25.85858162;17.9;27.12
2005-07-14;6.15;15.32302626;9.982135617;8.060067181;5.737242807;6.835734288;17.88513608;16.19;11.12967317;14.76784421;16.16;13;25.62785988;18.09;28.32
2005-07-15;6.75;15.35744069;10.08363166;8.013089271;5.769019702;7.081555991;17.71782352;16.23;11.1819497;14.74796824;16.12;13;25.52137293;17.92;26.88
2005-07-18;6.75;15.14235048;9.809592348;8.167445262;5.765993331;6.977554501;17.38896779;16.31;11.17672204;14.42001477;16.22;13;25.75209466;18.12;28.32
2005-07-19;6.75;15.37464791;9.931387597;8.221134302;5.750104884;7.242285566;17.38896779;16.26;10.84737991;14.86722405;16.28;13;25.83195988;18.01;28.32
2005-07-20;6.15;15.5725309;9.992285221;8.221134302;5.731190065;7.242285566;17.38896779;16.6099;10.66441205;15.10573566;16.29;13;25.91182509;18.33;28.56
2005-07-21;6.45;15.35744069;9.850190764;8.596957584;5.750104884;7.299013652;17.38896779;16.53;10.44485063;14.7082163;15.86;13;25.91182509;18.16;28.32
2005-07-22;6.45;15.42626956;9.98974782;8.321801253;5.863593796;7.317923013;17.29088801;16.6;10.40825706;14.71815429;15.87;12.65;26.22241204;17.93;27.84
2005-07-25;6.45;15.17676492;9.855265566;8.462734983;6.124618294;7.261194928;17.10626725;16.61;10.14164676;14.60883646;15.93;12.5;26.13367291;17.95;25.44
2005-07-26;4.611;15.32302626;10.04303324;8.482868374;5.943036034;7.289558971;17.08895906;17.9;10.15210206;14.9566659;15.75;12.5;26.00056422;17.82;24.96
2005-07-27;4.611;16.23500873;9.870489972;8.556690804;6.24189017;7.393560461;17.08895906;18.85;10.1364191;15.11567365;15.63;12.5;26.10705117;18.06;24.24
2005-07-28;4.611;16.2091979;10.11915527;8.576824194;6.556632753;6.571003223;17.08895906;20.18;10.303704;15.90077438;15.9;12.5;26.04493378;18.23;24.48
2005-07-29;5.79;16.04572935;9.921237993;8.576824194;6.52561245;6.3346362;17.08895906;20;10.3429114;16.48711544;16.17;12.5;26.34664681;18.51;24
2005-08-01;5.79;16.08874739;9.911088389;8.52955036;6.642884326;6.192815987;17.16973064;19.84;10.52326542;16.14922398;16.2199;12.5;26.48862942;18.71;22.32
2005-08-02;6;16.45009893;10.04049584;8.421495882;7.444872639;6.268453434;17.31396561;19.77;10.48667185;15.43368913;15.22;12.5;26.62173811;18.74;21.6
2005-08-03;6;16.64798192;9.971986013;8.421495882;8.322520226;6.23063471;17.30819621;19.57;10.46576124;14.53927058;15.12;12.25;26.54187289;18.17;24.48
2005-08-04;6;16.75122522;9.834966358;8.441688563;8.674335854;6.22118003;17.30819621;19.82;10.26188277;14.2113171;13.4;12.25;26.44425985;17.9;23.76
2005-08-05;6.45;16.74262161;9.860340368;8.313441404;8.41709432;6.154997263;17.30819621;19.62;9.963906555;14.3405109;12.9;12.25;26.53299898;17.54;22.56
